donor,recipient,recieved_amount
Liechtenstein,Germany,60164
Liechtenstein,Germany,60164
Liechtenstein,Switzerland,326783
Liechtenstein,Switzerland,326783
Liechtenstein,Switzerland,326783
Liechtenstein,Switzerland,326783
Liechtenstein,Switzerland,326783
United States,Iceland,18060045
Liechtenstein,Liechtenstein,18393083
Liechtenstein,Liechtenstein,18393083
Liechtenstein,Liechtenstein,18393083
Liechtenstein,Liechtenstein,18393083
United States,Liechtenstein,18393083
United States,Sweden,59757155
United States,Sweden,59757155
United States,Sweden,59757155
United States,Sweden,59757155
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Colombia,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Qatar,United States,104524992
Chile,United States,104524992
Qatar,United States,104524992
United States,Denmark,166310586
United States,Denmark,166310586
United States,Denmark,166310586
United States,Denmark,166310586
United States,Portugal,175242606
United States,Portugal,175242606
United States,Portugal,175242606
United States,Portugal,175242606
Monaco,Portugal,175242606
United States,Portugal,175242606
United States,Portugal,175242606
United States,Portugal,175242606
United States,Finland,180695493
United States,Finland,180695493
United States,Finland,180695493
Liechtenstein,Finland,180695493
Liechtenstein,Finland,180695493
United States,Belgium,184346233
United States,Belgium,184346233
France,Slovenia,225435200
Italy,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Netherlands,Slovenia,225435200
Sweden,Slovenia,225435200
Spain,Slovenia,225435200
Austria,Slovenia,225435200
Austria,Slovenia,225435200
Italy,Slovenia,225435200
Austria,Slovenia,225435200
Belgium,Slovenia,225435200
Germany,Slovenia,225435200
Austria,Slovenia,225435200
Germany,Slovenia,225435200
Germany,Slovenia,225435200
United Kingdom,Slovenia,225435200
Monaco,Slovenia,225435200
Monaco,Slovenia,225435200
Netherlands,Slovenia,225435200
United States,Slovenia,225435200
Greece,Slovenia,225435200
Monaco,Slovenia,225435200
Austria,Slovenia,225435200
Germany,Slovenia,225435200
Spain,Slovenia,225435200
France,Slovenia,225435200
Japan,Slovenia,225435200
Germany,Slovenia,225435200
Spain,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
Spain,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
Germany,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Spain,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Netherlands,Slovenia,225435200
Austria,Slovenia,225435200
Japan,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Netherlands,Slovenia,225435200
Japan,Slovenia,225435200
Netherlands,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Portugal,Slovenia,225435200
Germany,Slovenia,225435200
United States,Slovenia,225435200
Canada,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Japan,Slovenia,225435200
Spain,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
Canada,Slovenia,225435200
Italy,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
United Kingdom,Slovenia,225435200
Austria,Slovenia,225435200
Austria,Slovenia,225435200
Austria,Slovenia,225435200
Spain,Slovenia,225435200
Netherlands,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Italy,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Spain,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
United States,Slovenia,225435200
Netherlands,Slovenia,225435200
Spain,Slovenia,225435200
Portugal,Slovenia,225435200
Italy,Slovenia,225435200
Italy,Slovenia,225435200
Portugal,Slovenia,225435200
Austria,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
Netherlands,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
United Kingdom,Slovenia,225435200
Sweden,Slovenia,225435200
Italy,Slovenia,225435200
United Kingdom,Slovenia,225435200
Belgium,Slovenia,225435200
Germany,Slovenia,225435200
Netherlands,Slovenia,225435200
Germany,Slovenia,225435200
Sweden,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Italy,Slovenia,225435200
Germany,Slovenia,225435200
Austria,Slovenia,225435200
United States,Slovenia,225435200
France,Slovenia,225435200
Spain,Slovenia,225435200
Austria,Slovenia,225435200
United Kingdom,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Spain,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
Spain,Slovenia,225435200
Netherlands,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
Norway,Slovenia,225435200
United Kingdom,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
United States,Slovenia,225435200
France,Slovenia,225435200
United Kingdom,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Spain,Slovenia,225435200
France,Slovenia,225435200
Netherlands,Slovenia,225435200
Liechtenstein,Slovenia,225435200
Netherlands,Slovenia,225435200
Spain,Slovenia,225435200
Monaco,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Netherlands,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Canada,Slovenia,225435200
United Kingdom,Slovenia,225435200
Sweden,Slovenia,225435200
Greece,Slovenia,225435200
Italy,Slovenia,225435200
Greece,Slovenia,225435200
Austria,Slovenia,225435200
Italy,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Italy,Slovenia,225435200
Austria,Slovenia,225435200
Australia,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
Netherlands,Slovenia,225435200
Netherlands,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Portugal,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
Norway,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
United Kingdom,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Austria,Slovenia,225435200
Austria,Slovenia,225435200
Austria,Slovenia,225435200
Germany,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
Germany,Slovenia,225435200
Austria,Slovenia,225435200
Japan,Slovenia,225435200
Spain,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Netherlands,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Belgium,Slovenia,225435200
Italy,Slovenia,225435200
Italy,Slovenia,225435200
Spain,Slovenia,225435200
Italy,Slovenia,225435200
United Kingdom,Slovenia,225435200
United States,Slovenia,225435200
Belgium,Slovenia,225435200
Spain,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Germany,Slovenia,225435200
United Kingdom,Slovenia,225435200
Italy,Slovenia,225435200
Spain,Slovenia,225435200
Austria,Slovenia,225435200
Austria,Slovenia,225435200
United States,Slovenia,225435200
United States,Slovenia,225435200
United Kingdom,Slovenia,225435200
Germany,Slovenia,225435200
Germany,Slovenia,225435200
Belgium,Slovenia,225435200
Austria,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Sweden,Slovenia,225435200
Germany,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
Austria,Slovenia,225435200
Canada,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
United States,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Netherlands,Slovenia,225435200
Germany,Slovenia,225435200
Netherlands,Slovenia,225435200
France,Slovenia,225435200
Spain,Slovenia,225435200
United States,Slovenia,225435200
Greece,Slovenia,225435200
Netherlands,Slovenia,225435200
Netherlands,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
Greece,Slovenia,225435200
Austria,Slovenia,225435200
Belgium,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
Canada,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Australia,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
Germany,Slovenia,225435200
Austria,Slovenia,225435200
Belgium,Slovenia,225435200
Canada,Slovenia,225435200
Canada,Slovenia,225435200
United Kingdom,Slovenia,225435200
Netherlands,Slovenia,225435200
Italy,Slovenia,225435200
Austria,Slovenia,225435200
United Kingdom,Slovenia,225435200
Germany,Slovenia,225435200
Austria,Slovenia,225435200
Italy,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
United States,Slovenia,225435200
Sweden,Slovenia,225435200
Belgium,Slovenia,225435200
Greece,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
United Kingdom,Slovenia,225435200
Austria,Slovenia,225435200
Germany,Slovenia,225435200
United States,Slovenia,225435200
Austria,Slovenia,225435200
Japan,Slovenia,225435200
Germany,Slovenia,225435200
Italy,Slovenia,225435200
Germany,Slovenia,225435200
United Kingdom,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Switzerland,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Spain,Slovenia,225435200
Canada,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
United States,Slovenia,225435200
United States,Slovenia,225435200
Netherlands,Slovenia,225435200
Germany,Slovenia,225435200
United Kingdom,Slovenia,225435200
Netherlands,Slovenia,225435200
Netherlands,Slovenia,225435200
France,Slovenia,225435200
Japan,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Netherlands,Slovenia,225435200
Sweden,Slovenia,225435200
France,Slovenia,225435200
Japan,Slovenia,225435200
Austria,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
Norway,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
Sweden,Slovenia,225435200
Germany,Slovenia,225435200
Canada,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Netherlands,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
Spain,Slovenia,225435200
Austria,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
Spain,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
Germany,Slovenia,225435200
Australia,Slovenia,225435200
France,Slovenia,225435200
Spain,Slovenia,225435200
United States,Slovenia,225435200
Germany,Slovenia,225435200
Belgium,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Switzerland,Slovenia,225435200
Germany,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Switzerland,Slovenia,225435200
Germany,Slovenia,225435200
Spain,Slovenia,225435200
Austria,Slovenia,225435200
United States,Slovenia,225435200
France,Slovenia,225435200
Austria,Slovenia,225435200
Austria,Slovenia,225435200
United Kingdom,Slovenia,225435200
Italy,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Germany,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Italy,Slovenia,225435200
France,Slovenia,225435200
Greece,Slovenia,225435200
France,Slovenia,225435200
Netherlands,Slovenia,225435200
Austria,Slovenia,225435200
Japan,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
Spain,Slovenia,225435200
France,Slovenia,225435200
Spain,Slovenia,225435200
Netherlands,Slovenia,225435200
Austria,Slovenia,225435200
France,Slovenia,225435200
Spain,Slovenia,225435200
Norway,Slovenia,225435200
Sweden,Slovenia,225435200
Sweden,Slovenia,225435200
Japan,Slovenia,225435200
United Kingdom,Slovenia,225435200
Austria,Slovenia,225435200
Austria,Slovenia,225435200
Belgium,Slovenia,225435200
Austria,Slovenia,225435200
Netherlands,Slovenia,225435200
Greece,Slovenia,225435200
Germany,Slovenia,225435200
United Kingdom,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
France,Slovenia,225435200
United States,New Zealand,225588310
United States,New Zealand,225588310
United States,New Zealand,225588310
Brazil,France,237540854
United States,France,237540854
United States,France,237540854
United States,France,237540854
Finland,Estonia,251349503
Finland,Estonia,251349503
Greece,Estonia,251349503
Sweden,Estonia,251349503
Spain,Estonia,251349503
France,Estonia,251349503
Japan,Estonia,251349503
France,Estonia,251349503
Sweden,Estonia,251349503
Canada,Estonia,251349503
France,Estonia,251349503
Sweden,Estonia,251349503
Austria,Estonia,251349503
Sweden,Estonia,251349503
Germany,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
Netherlands,Estonia,251349503
Sweden,Estonia,251349503
France,Estonia,251349503
Norway,Estonia,251349503
France,Estonia,251349503
France,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
Germany,Estonia,251349503
Norway,Estonia,251349503
Netherlands,Estonia,251349503
Sweden,Estonia,251349503
Germany,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
Germany,Estonia,251349503
Sweden,Estonia,251349503
Germany,Estonia,251349503
Germany,Estonia,251349503
Sweden,Estonia,251349503
Germany,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
Netherlands,Estonia,251349503
France,Estonia,251349503
Japan,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
Finland,Estonia,251349503
France,Estonia,251349503
Finland,Estonia,251349503
Finland,Estonia,251349503
Belgium,Estonia,251349503
France,Estonia,251349503
Finland,Estonia,251349503
Sweden,Estonia,251349503
Japan,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
France,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
France,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
Norway,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
Sweden,Estonia,251349503
France,Estonia,251349503
France,Estonia,251349503
Norway,Estonia,251349503
Austria,Estonia,251349503
